id,ticker,title,category,release_date,provider,url,article_id,Year,Month,day,Score
241579,MSFT,Cloud security firm Netskope raises  169 million   valuation tops  1 billion,news,2018-11-13,Reuters,https://www.investing.com/news/technology-news/cloud-security-firm-netskope-raises-169-million--valuation-tops-1-billion-1687092,1687092,2018,11,13,0
242124,MSFT,Oracle first quarter revenue misses estimates  shares fall,news,2018-09-17,Reuters,https://www.investing.com/news/technology-news/oracle-firstquarter-revenue-up-1-percent-1613448,1613448,2018,09,17,-1
242659,MSFT,Stocks   U S  Futures Fall Ahead of Earnings  Trade Tension Worry ,news,2018-07-19,Investing.com,https://www.investing.com/news/stock-market-news/stocks--us-futures-fall-ahead-of-earnings-trade-tension-worry-1536322,1536322,2018,07,19,-1
243094,MSFT,Oracle s forecast miss overshadows cloud growth  shares fall,news,2018-06-19,Reuters,https://www.investing.com/news/stock-market-news/oracles-quarterly-profit-rises-55-percent-1499219,1499219,2018,06,19,-1
245859,MSFT,Trump Says  America First  Will Benefit World in Davos Speech,news,2018-01-26,Bloomberg,https://www.investing.com/news/economy-news/trump-says-america-first-will-benefit-world-in-davos-speech-1156058,1156058,2018,01,26,1
246498,MSFT,U S  says Facebook  Microsoft disabled North Korean cyber threats,news,2017-12-19,Reuters,https://www.investing.com/news/technology-news/us-says-facebook-microsoft-disabled-north-korean-cyber-actions-1009051,1009051,2017,12,19,-1
247323,TM,Japan s Abe visits Philippines as Duterte s first top guest,news,2017-01-12,Reuters,https://www.investing.com/news/world-news/japan's-abe-visits-philippines-as-duterte's-first-top-guest-452663,452663,2017,01,12,1
247629,TM,Johnson Controls Acquires Smartvue To Boost Video Solution,opinion,2018-04-03,Zacks Investment Research,https://www.investing.com/analysis/johnson-controls-acquires-smartvue-to-boost-video-solution-200303020,200303020,2018,04,03,1
247937,TM,Toyota recalls 340 000 Priuses globally to fix parking brake issue,news,2016-10-12,Reuters,"https://www.investing.com/news/stock-market-news/toyota-recalls-340,000-priuses-globally-to-fix-parking-brake-issue-431840",431840,2016,10,12,-1
248608,TM,Electric Vehicles On Top Gear  Automakers Shift Focus,opinion,2017-09-17,Zacks Investment Research,https://www.investing.com/analysis/electric-vehicles-on-top-gear-automakers-shift-focus-200213884,200213884,2017,09,17,1
248816,TM,VW to cut capex as emissions scandal weakens unions,news,2015-11-19,Reuters,https://www.investing.com/news/stock-market-news/vw-to-cut-capex-as-emissions-scandal-weakens-unions-372116,372116,2015,11,19,-1
249008,TM,Can U S  Auto Sales Recover In The Second Half Of 2017 ,opinion,2017-07-04,Zacks Investment Research,https://www.investing.com/analysis/can-u.s.-auto-sales-recover-in-the-second-half-of-2017-200199034,200199034,2017,07,04,1
249208,MSFT,RBC analyst bullish on cloud  sees GoDaddy focusing on expansion,news,2017-09-01,Seeking Alpha,https://www.investing.com/news/stock-market-news/rbc-analyst-bullish-on-cloud-sees-godaddy-focusing-on-expansion-524788,524788,2017,09,01,0
249297,TM,FANG Stocks Starting To Look At Lot Like The  Nifty Fifty  ,opinion,2016-11-29,ValueWalk,https://www.investing.com/analysis/fang-â€“-stocks-the-street-buys-200167019,200167019,2016,11,29,1
249457,TM,How To Invest In The Ride Sharing Boom,opinion,2016-10-18,Modest Money,https://www.investing.com/analysis/how-to-invest-in-the-ride-sharing-boom-200159280,200159280,2016,10,18,1
250097,TM,Closer To The Shovel Ready Resurrection,opinion,2016-03-31,"Alhambra Investment Partners, LLC",https://www.investing.com/analysis/closer-to-the-shovel-ready-resurrection-200123425,200123425,2016,03,31,1
252393,MSFT,U S  net neutrality advocates blast Pai effort to reverse rules,news,2017-04-07,Reuters,https://www.investing.com/news/technology-news/u.s.-net-neutrality-advocates-blast-pai-effort-to-reverse-rules-472668,472668,2017,04,07,1
253812,MSFT,Twitter users cheer Thursday Night Football live video,news,2016-09-16,Reuters,https://www.investing.com/news/general-news/twitter-users-cheer-thursday-night-football-live-video-426582,426582,2016,09,16,1
254047,MSFT,Big tech may halt earnings recession  if it delivers third quarter numbers,news,2016-08-03,Reuters,"https://www.investing.com/news/technology-news/big-tech-may-halt-earnings-recession,-if-it-delivers-third-quarter-numbers-418382",418382,2016,08,03,-1
255312,MSFT,Justice Department  Silicon Valley discuss online extremism,news,2016-02-24,Reuters,https://www.investing.com/news/technology-news/obama-admin.-hosts-meeting-with-social-media-companies-to-combat-extremism-386317,386317,2016,02,24,-1
256096,MSFT,U S  International Trade Commission clears Microsoft of patent infringement,news,2015-08-28,Reuters,https://www.investing.com/news/technology-news/u.s.-international-trade-commission-clears-microsoft-of-patent-infringement-358315,358315,2015,08,28,0
