"","created_at","id","text","ticker"
"1","Thu Jan 02 04:55:55 +0000 2014",418606559023730688,"RT @FiercePharma: J&amp;J moves forward with its plan to make Doxil in part of the closed Ben Venue plant: http://t.co/7781pIQKrM $JNJ by @Eric…","JNJ"
"2","Thu Jan 02 11:41:30 +0000 2014",418708627403603968,"Dow Dividend Aristocrat: Johnson &amp; Johnson $JNJ http://t.co/FxsCkyRt4U","JNJ"
"3","Fri Jan 03 15:56:06 +0000 2014",419135087477673984,"$JNJ 2014 - Why The Ride Isn't Over [Facebook Inc, Johnson &amp; Johnson, JPMorgan ... http://t.co/9jgDCjoCCA","JNJ"
"4","Fri Jan 03 16:44:19 +0000 2014",419147221594959872,"$JNJ Morning Dow Report: Will a Telecom Price War Hurt AT&amp;T and Verizon? http://t.co/aHK6XARl7h","JNJ"
"5","Fri Jan 03 15:32:33 +0000 2014",419129160909336576,"$JNJ Why Big Pharma Isn't Scared of Biosimilars http://t.co/0cE5ZFR5dN","JNJ"
"6","Mon Jan 06 11:04:29 +0000 2014",420148863333171200,"#FDA opens adcomms with 3-day CRDAC. Read about it at US Capitol Capsule http://t.co/2Fne0JIVA4 #pharma #biotech #biopharma $MRK $CHTP $JNJ","JNJ"
"7","Tue Jan 07 21:34:14 +0000 2014",420669732954832896,"BUY $APA 87.90, SELL $CELG 164.61, SELL $GMCR 79.69, BUY $JNJ 94.29. More stock tips &amp; details at: http://t.co/DQJBdeaGjO","JNJ"
"8","Tue Jan 07 18:27:40 +0000 2014",420622781945233408,"Johnson &amp; Johnson Rating Lowered to Sell at Goldman Sachs Group Inc. $JNJ http://t.co/CG7h098FqV","JNJ"
"9","Wed Jan 08 18:05:52 +0000 2014",420979683648225280,"$XNCR is eligible for up to $1.3B milestone paymts from partnerships w $MOR $AMGN $ALXN $JNJ $CSL.AX $MRK BI[Wedbush] http://t.co/JHW2MLcJI0","JNJ"
"10","Wed Jan 08 13:42:45 +0000 2014",420913468154601472,"Congrats to Nagesh &amp; SR team - great next step: MT @DJVentureWire: Scholar Rock, $JNJ Form Drug-Discovery Partnership http://t.co/4y9isVGGue","JNJ"
"11","Wed Jan 08 16:50:31 +0000 2014",420960721212436480,"S&amp;P100 #Stocks Trend $C $MDT $EMC $CMCSA $AMGN $JNJ $PEP $GOOG $OXY $UNH $BAC $PFE $APC $USB $WAG $APA $QCOM  @ http://t.co/n4QZIDxy7w","JNJ"
"12","Wed Jan 08 18:50:52 +0000 2014",420991008269406208,"$JNJ News Alert:  http://t.co/zzlzII5lEk  Updated options view: http://t.co/RlzB7mhmEn  All options views: http://t.co/dY9hqVSd05","JNJ"
"13","Thu Jan 09 13:19:15 +0000 2014",421269942076325888,"$JNJ News Alert:  http://t.co/PcVM1h092I  Updated options view: http://t.co/PDcVphu0pX  All options views: http://t.co/tOzhAhYzgU","JNJ"
"14","Sat Jan 11 04:38:00 +0000 2014",421863540928937984,"Inactive day for us today. Closed the week with these longs: $ACHN $DDD $GE $JNJ $KO $POT $TSLA $V. Have a good weekend everyone!","JNJ"
"15","Wed Jan 15 23:16:07 +0000 2014",423594475676782592,"$JNJ News Alert:  http://t.co/wXngocTNyr  Updated options view: http://t.co/kZZT7Mex8F  All options views: http://t.co/dY9hqVSd05","JNJ"
"16","Thu Jan 16 19:30:26 +0000 2014",423900068450938880,"$JNJ - J&amp;J to sell slow-growing diagnostics unit to Carlyle -&gt; http://t.co/dFfzVRd6cZ #stock #stocks #stockaction","JNJ"
"17","Thu Jan 16 14:06:17 +0000 2014",423818493444648960,"$JNJ Carlyle to buy J&amp;J diagnostic unit for $4.15 billion http://t.co/xEEs9xkoyR","JNJ"
"18","Thu Jan 16 15:33:41 +0000 2014",423840488374824960,"J&amp;J to sell slow-growing diagnostics unit to Carlyle $JNJ http://t.co/b39MoGqTyi","JNJ"
"19","Thu Jan 16 11:57:17 +0000 2014",423786029540048896,"WO2014004113A2 Surgical Instruments With Articulating Shafts $JNJ #A61B #A61B17 http://t.co/ATB843j1Rn http://t.co/JiQhGrkjeo","JNJ"
"20","Mon Jan 20 22:14:09 +0000 2014",425390820577918976,"UBS recommends buy for $JNJ as a positively differentiated margin outlook is shown by company http://t.co/Nk0RfU7Zl9","JNJ"
"21","Tue Jan 21 13:25:00 +0000 2014",425620043494617088,"Johnson &amp; Johnson Q4 earnings, revenue beat expectations $JNJ http://t.co/THgajqLlgq","JNJ"
"22","Tue Jan 21 13:26:47 +0000 2014",425620492293529600,"Johnson &amp; Johnson's fourth-quarter medical device, diagnostics sales slip 1 percent http://t.co/U7YzSazcSy $JNJ #medtech","JNJ"
"23","Tue Jan 21 15:02:43 +0000 2014",425644634698969088,"RT @FoxBusiness: Strong U.S. drug sales drive 37% 4Q profit surge at Johnson &amp; Johnson. http://t.co/oAxvYvfHQs via @MattMEgan5 $JNJ","JNJ"
"24","Tue Jan 21 00:20:07 +0000 2014",425422521136324608,"$JNJ Johnson &amp; Johnson has removed formaldehyde from its baby shampoo http://t.co/hLm25uoQFK","JNJ"
"25","Tue Jan 21 22:55:13 +0000 2014",425763543196401664,"Huge #Earnings Week for These ETFs http://t.co/BjFOhA59B3 #ETF #stocks $OIH $SLB $HAL $BHI $DIA $IBM $JNJ $IYT $DAL $KCE $IAI $KRE $KBWR","JNJ"
"26","Wed Jan 22 06:49:22 +0000 2014",425882866942488576,"$JNJ - Johnson &amp; Johnson shares take a hit on full-year outlook -&gt; http://t.co/QRV9lXdpWY #stock #stocks #stockaction","JNJ"
"27","Wed Jan 22 19:35:36 +0000 2014",426075695903539200,"$JNJ Dow Today: Johnson &amp; Johnson (JNJ) Higher http://t.co/KXf5jGORpU","JNJ"
"28","Sat Jan 25 05:08:28 +0000 2014",426944638222467072,"Wow. Great #Stock #Research on $JNJ $TISI $DD $AAPL Check out http://t.co/xrc3NJnM59","JNJ"
"29","Thu Jan 30 14:13:59 +0000 2014",428893861315096576,"RT @ldtimmerman: J&amp;J Opens Data Vault to Yale, in ‘Unprecedented’ Transparency Move | http://t.co/CmGwFC35GQ $JNJ Quotes @hmkyale","JNJ"
"30","Thu Jan 30 20:04:01 +0000 2014",428981950121263104,"$JNJ - Is this Good News for P&amp;G, or Its Rivals? -&gt; http://t.co/H2d4Te4FOm #stock #stocks #stockaction","JNJ"
"31","Sat Feb 01 08:58:09 +0000 2014",429539155018653696,"$JNJ Johnson &amp; Johnson's 4Q Profit Rises 19 Percent http://t.co/rDUtxJNGeO","JNJ"
"32","Mon Feb 03 23:09:56 +0000 2014",430478289011236864,"Gilead Sciences, Inc. (GILD) news: The Leukemia Race: Gilead Vs. Johnson ... $JNJ http://t.co/OT4SmFcrVd","JNJ"
"33","Tue Feb 04 18:30:43 +0000 2014",430770409705709568,"ICYMI: #NIH, 10 drug makers in $230m+ pact to attack Alzheimer's, other diseases http://t.co/XnQt5OamTo $SNY $GSK $JNJ $LLY $PFE $MRK","JNJ"
"34","Wed Feb 05 23:36:42 +0000 2014",431209800811044864,"$JNJ Gilead to license hepatitis C drug to lower-cost manufacturers in India http://t.co/4XmrXHjUNT","JNJ"
"35","Fri Feb 07 16:33:31 +0000 2014",431828078973554688,"$JNJ finally breaks....you could see mid $89s today: http://t.co/lAw4i05GTt","JNJ"
"36","Sat Feb 08 00:39:47 +0000 2014",431950451999666176,"Earnings news on $NTSP $WLB $JNJ $WU View now http://t.co/7HwwAYgDou","JNJ"
"37","Sun Feb 09 18:21:01 +0000 2014",432579907961360384,"#Stocks to Sell $STRN $MYRX $TRAK $JNJ I suggest http://t.co/ZacmYzN21L","JNJ"
"38","Mon Feb 10 18:06:06 +0000 2014",432938541941673984,"2 Young 'Cats' Of Biotech Poised To Climb Higher In 2014 http://t.co/soX3dUDmKS $LBIO $RHHBY $JNJ $PBYI","JNJ"
"39","Sat Feb 15 21:21:14 +0000 2014",434799588147736576,"RT @financialjuice: Johnson &amp; Johnson's $JNJ Jansenn pleads guilty to selling Risperdal for off-label uses in a  Philadelphia court #stocks","JNJ"
"40","Sat Feb 15 17:18:46 +0000 2014",434738569434132480,"RT @FiercePharma: No FDA love for #Xarelto in ACS patients http://t.co/mJpVbKqJC4 #pharma $JNJ by @CarlyHFierce","JNJ"
"41","Wed Feb 19 03:04:30 +0000 2014",435973137629712384,"$JNJ - Dividend Derby: Johnson &amp; Johnson Vs. Eli Lilly -&gt; http://t.co/tpD5HeB5sL #stock #stocks #stockaction","JNJ"
"42","Mon Feb 24 17:29:57 +0000 2014",438002874610495488,"$CVX $DJIA $DRYS $HL $JNJ and $VALE are on today's 1-Day Stock Forecast ---&gt; http://t.co/XoIhL6pbN9  http://t.co/ZY9gz7zie9","JNJ"
"43","Tue Feb 25 04:47:22 +0000 2014",438173352100777984,"Are you Investing in $CAT $WDR $JNJ $GE $GRPN #money http://t.co/dC6z9IfX3A","JNJ"
"44","Wed Feb 26 15:24:56 +0000 2014",438696188867395584,"Are High-Yield Equities Riskier Than Dividend Growth Stocks? http://t.co/A4Mi7lHj6f $AGNC $BWP $CL $ETV $EXG $FTR $JNJ $KMB $KO $LINE","JNJ"
"45","Thu Feb 27 16:00:03 +0000 2014",439067414131523584,"Risk And Reward Analysis Of Apple's Stock http://t.co/oS67QukMs6 $CVX $JNJ $KO $PEP $PG $AAPL","JNJ"
"46","Thu Feb 27 16:57:22 +0000 2014",439081838313623552,"9 Dogs Of The Dow Seek 10% To 17% February Upsides http://t.co/9MrSJbloxN $CSCO #CISCO $CVX $GE $INTC $JNJ $JPM $KO $MCD $MSFT $PFE $PG","JNJ"
"47","Fri Feb 28 15:11:40 +0000 2014",439417625916211200,"@matthewherper And then there's the ongoing #Risperdal/Omnicare #scandal http://t.co/GuwknAkXGh $JNJ","JNJ"
"48","Fri Feb 28 14:57:30 +0000 2014",439414060782985216,"@matthewherper no, $JNJ must take financial responsibility for #CEO Gorsky victims rather than dump the cost on public healthcare/disability","JNJ"
"49","Fri Feb 28 15:25:38 +0000 2014",439421140755177472,"$TSLA Prev Close Get started here: http://t.co/yyka7J9VPr Also see $JNJ $TBT $MDRM $XLF","JNJ"
"50","Tue Mar 04 14:40:10 +0000 2014",440859250131087360,"$JNJ Buy or Sell Opinion Click here to find out if $JNJ is a buy hold or sell. Watching these stocks. $BAYP $S http://t.co/hE9qnoaM6s","JNJ"
"51","Tue Mar 04 16:23:17 +0000 2014",440885200302505984,"$PRPM TA  $PRPM Most recent stock chart and technical analysis. $JNJ $CTIC $JNJ $USO $EWY $YELP http://stockc http://t.co/UM6gfVp2QK","JNJ"
"52","Tue Mar 04 11:24:44 +0000 2014",440810067743350784,"Weekly Dow #Stocks Trend $UNH $VZ $HD $DD $CVX $UTX $GS $XOM $NKE $MRK $AXP $BA $KO $IBM $MSFT $TRV $MMM $JNJ  @ http://t.co/TvzJfcJOET","JNJ"
"53","Wed Mar 05 18:01:55 +0000 2014",441272410055380992,"@TheStreet @PMorici1 but it sure covers healthcare for victims of $JNJ CEO Gorsky corruption http://t.co/z4CslJkeCm","JNJ"
"54","Thu Mar 06 20:27:57 +0000 2014",441671548437401600,"@CenterOnBudget Pushing the cost of more than a million permanently disabled ppl thru #Obamacare is NOT solution http://t.co/W4FhRHJS9T $JNJ","JNJ"
"55","Mon Mar 10 11:36:06 +0000 2014",442987255469457408,"$JNJ - Reckitt Benckiser Acquires K-Y Lubricants From Johnson &amp; Johnson -&gt; http://t.co/fF1sT9JDqV #stock #stocks #stockaction","JNJ"
"56","Mon Mar 10 11:27:01 +0000 2014",442984969557016576,"$JNJ - Johnson &amp; Johnsons McNeil unit sells K-Y brand -&gt; http://t.co/5h5IqIgr7h #stock #stocks #stockaction","JNJ"
"57","Tue Mar 11 16:02:27 +0000 2014",443416672481730560,"Bad #Invesments like got you down $AGCO $APD $JNJ $SLW #Research http://t.co/qzU2yua1hM","JNJ"
