"","created_at","id","text","ticker"
"1","Wed Jan 01 00:00:48 +0000 2014",418169902613008384,"Dow #Stocks Trend $AXP $UTX $CSCO $KO $HD $DIS $V $IBM $DD $INTC $JPM $UNH $TRV $MRK $MMM $GE $GS $MSFT $CAT  @ http://t.co/TvzJfd0RGT","JPM"
"2","Thu Jan 02 21:16:02 +0000 2014",418853213446496256,"saw some big orders into the close on $KORS $V $AIG $JPM","JPM"
"3","Fri Jan 03 15:41:18 +0000 2014",419131362931916800,"$S Showing on my streamers $RAD $JPM $AUY $ORCL $TWTR http://t.co/tNFq6VMEas","JPM"
"4","Fri Jan 03 11:01:06 +0000 2014",419060848288464896,"Weekly Dow #Stocks Trend $DIS $WMT $HD $GS $V $INTC $IBM $UTX $VZ $UNH $T $MSFT $AXP $JPM $MRK $CSCO $KO $CVX  @ http://t.co/TvzJfd0RGT","JPM"
"5","Fri Jan 03 16:17:58 +0000 2014",419140590375161856,"financials are looking very strong $XLF $BAC $C $JPM(long)","JPM"
"6","Fri Jan 03 02:49:01 +0000 2014",418937011475845120,"@A_Karunaratne @americangreedtv 
$BAC $C $GS #BearStearns $JPM $Lehman #countrywide etc packed the #subprime loans &amp; sold as securities","JPM"
"7","Fri Jan 03 23:21:33 +0000 2014",419247188615901184,"$JPM - WhiteWave Foods Obtains $500 Million Loan for Earthbound Buyout -&gt; http://t.co/OstbawAt2O #stock #stocks #stockaction","JPM"
"8","Sun Jan 05 16:41:52 +0000 2014",419871380742483968,"Feldstein to Summers Forecast Quickening U.S. Growth This Year $JPM  http://t.co/GLXK26ZZ0i","JPM"
"9","Mon Jan 06 17:43:09 +0000 2014",420249191059697664,"$JPM [video] Tech Stocks Lead Retreat from Early Highs, MW &amp; JOSB Buck Trend http://t.co/94aBeoIkWh","JPM"
"10","Mon Jan 06 05:34:07 +0000 2014",420065723843493888,"$JPM JPMorgan nears $2 bln settlement in a case tied to Madoff NYT http://t.co/qMlVM2paAe","JPM"
"11","Tue Jan 07 14:30:33 +0000 2014",420563109552476160,"It looks like $JPM is paying $1.7B for violations of BSA relating to Madoff. Criminal charges? Nope.  #toobigtojail","JPM"
"12","Tue Jan 07 14:37:40 +0000 2014",420564900541652992,"$JPM stock keeps rising despite paying total fines larger than 80% of any of S&amp;P 500 companies' GROSS PROFITS for 2013 #WTF","JPM"
"13","Tue Jan 07 14:40:36 +0000 2014",420565638739140608,"RT @cvpayne: Are Wall Street banks using shareholder money to avoid jail? $JPM paying $1.8 billion over Bernie Madoff admits criminal act b…","JPM"
"14","Tue Jan 07 03:09:12 +0000 2014",420391642214830080,"J.P. Morgan officials excluded from penalties in Madoff deal $JPM http://t.co/xgzd2PnXVt  jeaaud # pm810gsc","JPM"
"15","Tue Jan 07 20:52:52 +0000 2014",420659322696126464,"Sudipta Sen doesnt work for $JPM so obviously he is arrested now.","JPM"
"16","Tue Jan 07 15:06:05 +0000 2014",420572051816980480,"$JPM admitted to criminal charges per @BloombergNews. Do your banking with criminals or those who hire them repeatedly?","JPM"
"17","Wed Jan 08 20:33:50 +0000 2014",421016920679120896,"RT @Jeffrey_Cane: Great take on $JPM as the untouchable bank from @felixsalmon http://t.co/RiEENPiGsG","JPM"
"18","Wed Jan 08 17:44:32 +0000 2014",420974314926534656,"RT @Forbes: If you can overlook the unsavory ties to Bernie Madoff, $JPM is a worthy investment in 2014 (Jefferies) http://t.co/ClkhjwASCg","JPM"
"19","Wed Jan 08 13:31:47 +0000 2014",420910708302163968,"Zephyr: Early movers: $JPM, $TWTR, $MCD, $F, $STZ, $S,: Zephyr http://t.co/eYJduFRjPv","JPM"
"20","Wed Jan 08 01:06:34 +0000 2014",420723168412577792,"$JPM J.P. Morgans Madoff Warnings Caught in Silos http://t.co/PrbJ2hG1M4","JPM"
"21","Wed Jan 08 18:18:29 +0000 2014",420982858724179968,"THEFLYNEWS:$BAC $C $JPM $WFC BofA's guaranteed U.S assets a plus in calculating liquidity ratio, WSJ says: Full Story http://t.co/Sr5ebiugzL","JPM"
"22","Wed Jan 08 13:06:39 +0000 2014",420904383308505088,"$JPM 8-K: legal reserves increased $400M in Q4; #Madoff resolutions announced Jan. 7 will reduce net income by approx $850M in Q4","JPM"
"23","Tue Jan 07 23:36:10 +0000 2014",420700418474115072,"$JPM JPMorgan to pay $2.6 bn for role in Madoff Ponzi fraud http://t.co/YlsP6WuxQr","JPM"
"24","Wed Jan 08 18:50:10 +0000 2014",420990832083480576,"$JPM Lawmakers Demand More Transparency In Settlements http://t.co/QH8bEqvGKQ","JPM"
"25","Wed Jan 08 04:35:48 +0000 2014",420775823671455744,"$JPM Madoff Trustee to Get $543 Million in JPMorgan Accord http://t.co/SfbmZ4WqB3","JPM"
"26","Wed Jan 08 03:28:41 +0000 2014",420758933222215680,"if $JPM keeps reserving $$ for fines/penalties and the Gov't keeps taking it, when does this game end?","JPM"
"27","Fri Jan 10 05:31:58 +0000 2014",421514734240686080,"Yesterday's All-Time Highs: $PCP $OCR $ADSK $DVA $PL $Q $CACQ $MCRS $QTS $ZMH $MAIN $COL $JPM $ASNA $LZB http://t.co/Vtx6dLy0Nw #wallstreet","JPM"
"28","Fri Jan 10 12:30:45 +0000 2014",421620124505092096,"$JPM - The 3 Most Important Things to Watch in the Bank of America Earnings R... -&gt; http://t.co/HgC5aE28Qv #stock #stocks #stockaction","JPM"
"29","Fri Jan 10 00:12:12 +0000 2014",421434262298976256,"$JPM The Whitewave Foods Company Coverage Initiated at JPMorgan Chase &amp; Co ... http://t.co/QmCqeovfMZ","JPM"
"30","Fri Jan 10 03:40:15 +0000 2014",421486619817172992,"$JPM - J.P. Morgan Securities advisors recognized by On Wall Street -&gt; http://t.co/JG8QBbBScG #stock #stocks #stockaction","JPM"
