"","created_at","id","text","ticker"
"1","Wed Jan 01 17:36:01 +0000 2014",418435456582561792,"@BenedictEvans shocking that $MSFT is missing this opportunity","MSFT"
"2","Wed Jan 01 14:49:40 +0000 2014",418393593230159872,"RT @ACInvestorBlog: Stocks to Watch for January 2, 2014 http://t.co/cUNSVvvcsA $GURE $IRM $MSFT $RVBD $WYY","MSFT"
"3","Wed Jan 01 00:00:48 +0000 2014",418169902613008384,"Dow #Stocks Trend $AXP $UTX $CSCO $KO $HD $DIS $V $IBM $DD $INTC $JPM $UNH $TRV $MRK $MMM $GE $GS $MSFT $CAT  @ http://t.co/TvzJfd0RGT","MSFT"
"4","Thu Jan 02 09:48:35 +0000 2014",418680211002384384,"Microsoft Corporation : Microsoft Assigned Patent $MSFT http://t.co/m21LDJJfcp","MSFT"
"5","Thu Jan 02 06:28:12 +0000 2014",418629782884974592,"Corporate 'Miserliness' In The United States: The Case Of Microsoft http://t.co/8BoIUrGepD $MSFT #MICROSOFT #WINDOWS","MSFT"
"6","Thu Jan 02 17:51:15 +0000 2014",418801678063009792,"$MSFT - [video] Fords Mulally should be frontrunner to lead Microsoft: Expert -&gt; http://t.co/0ziCk85oe8 #stock #stocks #stockaction","MSFT"
"7","Thu Jan 02 12:25:07 +0000 2014",418719603909337088,"$MSFT wants to soar with eagles but keeps looking among sparrows to lead? Oncologist, not #SEINFELD's pimple-popping-dermatologist? #CNBC","MSFT"
"8","Thu Jan 02 18:17:10 +0000 2014",418808200167583744,"Following SnapChat.  Skype twitter and blog hacked.  Syrian Electronic Army claims responsibility, attempts to spread anti $MSFT msg","MSFT"
"9","Thu Jan 02 16:40:06 +0000 2014",418783772541067264,"$MSFT [video] Fiat Takes Full Control of Chrysler, and More http://t.co/4wqy2Nq2Bi","MSFT"
"10","Fri Jan 03 19:23:08 +0000 2014",419187189118156800,"$MSFT - Microsoft announces quarterly earnings release date and upcoming event... -&gt; http://t.co/o0BoMAZDsV #stock #stocks #stockaction","MSFT"
