"","created_at","id","text","ticker"
"1","Wed Jan 01 20:27:01 +0000 2014",418478490133204992,"$PFE - What You Need to Know About Blood-Thinning Drugs in 2014 -&gt; http://t.co/cLsw8khKsQ #stock #stocks #stockaction","PFE"
"2","Wed Jan 01 20:40:33 +0000 2014",418481895932821504,"$PFE China Puts the Brakes on Imports of Pfizer’s Diflucan http://t.co/glpa1rgRt3","PFE"
"3","Wed Jan 01 16:43:04 +0000 2014",418422131299332096,"$PFE What You Need to Know About PAH Drugs in 2014 http://t.co/qKRl1MFeid","PFE"
"4","Thu Jan 02 18:51:01 +0000 2014",418816718828740608,"$PFE - Cerenis Says Cholesterol Drug Fails in Mid-Stage Trial -&gt; http://t.co/s8W1Kee9Tu #stock #stocks #stockaction","PFE"
"5","Thu Jan 02 21:52:04 +0000 2014",418862281523355648,"$PFE Pfizer Inc. : Researchers at Pfizer Release New Data on Menopause http://t.co/rJDQ2K73SA","PFE"
"6","Fri Jan 03 20:27:19 +0000 2014",419203341366091776,"$PFE - Monty Moran Cooks Up A Winner With Chipotle -&gt; http://t.co/ggC3B7OttD #stock #stocks #stockaction","PFE"
"7","Tue Jan 07 18:21:35 +0000 2014",420621250998722560,"@KeithStokes14 partnership with $PFE","PFE"
"8","Wed Jan 08 20:48:50 +0000 2014",421020695527956480,"$PFE Martoma cannot use testimony from SAC's Cohen at trial-judge http://t.co/oKs5Qzp1vM","PFE"
"9","Wed Jan 08 16:50:31 +0000 2014",420960721212436480,"S&amp;P100 #Stocks Trend $C $MDT $EMC $CMCSA $AMGN $JNJ $PEP $GOOG $OXY $UNH $BAC $PFE $APC $USB $WAG $APA $QCOM  @ http://t.co/n4QZIDxy7w","PFE"
"10","Thu Jan 09 00:23:14 +0000 2014",421074651054235648,"$PFE Martoma cannot use testimony from SACs Cohen at trial judge http://t.co/ZmFqQNzp2P","PFE"
"11","Fri Jan 10 00:03:14 +0000 2014",421432005780574208,"Pfizer hopes an iPad game can detect Alzheimer’s: http://t.co/BwzEPY8ivi • $PFE $AAPL","PFE"
"12","Mon Jan 13 15:42:55 +0000 2014",422755648435007488,"http://t.co/T5RYbbzI1X   Orphan drugs have become hot ticket items in the biopharma industry $CPRX  $PFE $BMRN  $ACT $GILD $MERK $SNY $TEVA","PFE"
"13","Tue Jan 14 14:44:52 +0000 2014",423103427527204864,"Valeant, Mylan, and Actavis eye #Pfizer's brand-new generics unit for buyout: Reuters http://t.co/P7mciQIDUD #pharma $PFE $VRX $MYL $ACT","PFE"
"14","Tue Jan 14 15:30:17 +0000 2014",423114857001414656,"NEW POST: Two Broad Morning Views   http://t.co/9v9vxzAvi4 $DDD $PFE $QQQ $SPY $STUDY","PFE"
"15","Tue Jan 14 13:00:12 +0000 2014",423077087302275072,"Pfizer’s new generics unit already has suitors, @Reuters reports: Valeant, Actavis and Mylan http://t.co/niisG9MYI6 $PFE $ACT $VRX $MYL","PFE"
"16","Wed Jan 15 14:12:11 +0000 2014",423457590366855168,"$PFE Pfizer sells office campus at Madison's Giralda Farms http://t.co/XnZAgt3G37","PFE"
"17","Thu Jan 16 14:30:01 +0000 2014",423824466125131776,"Worst sentiment for SP1500 stocks at market open: $JBT,$MSM,$WMT,$MU,$PFE (2014/01/16) #sentiment #stock #alexandria","PFE"
"18","Thu Jan 16 16:53:13 +0000 2014",423860503597690880,"U might not be familiar w Gerresheimer, but here r some of their customers Unilever @GSK @merck $PG Nestle, Thermo, $AZN $PFE #JPM14","PFE"
"19","Sun Jan 19 22:32:55 +0000 2014",425033155511197696,"#Pennystock Research on $ETFC $IIIN $EXAS $PFE Goto http://t.co/kvzF7EpNgB","PFE"
"20","Sun Jan 19 22:33:05 +0000 2014",425033197433278464,"#Stocks to hold onto $MCRS $LOCK $CUTR $PFE View now http://t.co/tN3vsAsfLT","PFE"
"21","Mon Jan 20 18:48:42 +0000 2014",425339117376139264,"Get great research on stocks $PFE $XNNH $RCII $GE Goto http://t.co/j41wGZ9xXR","PFE"
"22","Mon Jan 20 13:10:08 +0000 2014",425253914280095744,"#Stocks to buy $CNC $BDC $MM $PFE Check out http://t.co/j2nIFUrt6n","PFE"
"23","Mon Jan 20 23:06:30 +0000 2014",425403994903556096,"#Stocks to buy $HOLX $VLGE.A $AAON $PFE Try this http://t.co/ReaOEdTcib","PFE"
"24","Thu Jan 23 14:17:06 +0000 2014",426357930602946560,"RT @brettchase: Pfizer pain drug meets goal in study. Medicine developed to curb abuse. $PFE http://t.co/iNoj54K3iZ","PFE"
"25","Thu Jan 23 17:01:59 +0000 2014",426399424856993792,"RT @Datamonitor_CW: $PFE ALO-02 met the primary efficacy endpoint in phase III chronic back pain study http://t.co/l70PSbZhgX","PFE"
"26","Sat Jan 25 16:08:58 +0000 2014",427110858510979072,"$ARNA Opinion Click here to find out if $ARNA is a buy hold or sell. Watching these stocks. $PFE $CSCO $GLD $D http://t.co/VtMEOs1kIY","PFE"
"27","Sat Jan 25 17:07:06 +0000 2014",427125488260509696,"$PFE Pfizer Inc (PFE) 30.09  -0.92 (-2.97%) Past 5 Days Date Open High Low Last Change % Change Volume 01/24/ http://t.co/bG0DdrKmB8","PFE"
"28","Sun Jan 26 12:27:51 +0000 2014",427417600537026560,"Big Board #Yields Are Gone. #BUY $PVSP For An Easy #TRADE . $SIRI $XRX $PFE","PFE"
"29","Sun Jan 26 16:17:42 +0000 2014",427475444200271872,"Run For The Hills! $INTC $XRX $PFE $AMD $SIRI $BAC .. #BUY $PVSP #NASDAQ","PFE"
"30","Sun Jan 26 10:30:46 +0000 2014",427388135572402176,"BIG #Microcap #Breakout Coming To $PVSP ! Far Easier Than $MSFT $PFE $BBRY","PFE"
"31","Sun Jan 26 10:43:50 +0000 2014",427391423881568256,"Big Board #Yields Are Gone. #BUY $PVSP For An Easy #TRADE . $SIRI $XRX $PFE","PFE"
"32","Sun Jan 26 05:03:17 +0000 2014",427305721676304384,"Big Board #Yields Are Gone. #BUY $PVSP For An Easy #TRADE . $SIRI $XRX $PFE","PFE"
"33","Mon Jan 27 19:12:38 +0000 2014",427881855472246784,"$PFE sponsored http://t.co/bQXtkTJ0mS &amp; @getold challenges thinking about aging &gt; hope it changes healthy aging conversation #RespectElders","PFE"
"34","Mon Jan 27 14:05:47 +0000 2014",427804634132918272,"BIG #Microcap #Breakout Coming To $PVSP ! Far Easier Than $MSFT $PFE $BBRY","PFE"
"35","Mon Jan 27 00:36:20 +0000 2014",427600929374752768,"Run For The Hills! $INTC $XRX $PFE $AMD $SIRI $BAC .. #BUY $PVSP #NASDAQ","PFE"
"36","Mon Jan 27 22:54:09 +0000 2014",427937601975115776,"Big Board #Yields Are Gone. #BUY $PVSP For An Easy #TRADE . $SIRI $XRX $PFE","PFE"
"37","Mon Jan 27 22:00:06 +0000 2014",427923999834652672,"Big Board #Yields Are Gone. #BUY $PVSP For An Easy #TRADE . $SIRI $XRX $PFE","PFE"
"38","Mon Jan 27 13:18:16 +0000 2014",427792676172611584,"$PFE news shows nothing is a certainty in lung cancer. $CLVS oncology R&amp;D day webcast at 11am ET today http://t.co/VKYBIzIvNu","PFE"
"39","Tue Jan 28 14:13:07 +0000 2014",428168867488096256,"BIG #Microcap #Breakout Coming To $PVSP ! Far Easier Than $MSFT $PFE $BBRY","PFE"
"40","Tue Jan 28 01:45:00 +0000 2014",427980597785411584,"Earnings before the bell: $APD $AKS $CHKP $CIT $CMCSA $GLW $DHI $DD $F $ITW $MNRO $NUE $OSK $PFE $PII $TROW","PFE"
"41","Tue Jan 28 19:20:59 +0000 2014",428246344671580160,"@MarkSchoenebaum That's new info. What are the criteria for such an action? $PFE","PFE"
"42","Tue Jan 28 19:29:06 +0000 2014",428248387302199296,"RT @DewDiligence: .@jonathanrockoff During CCs, analysts from IBs are relentless in pursuing their self-interest from a pot $PFE split-up.E…","PFE"
"43","Tue Jan 28 12:47:41 +0000 2014",428147367515152384,"Pfizer reports non-GAAP profit of 56 cents a share, better than expected. Sales fell 2% to $13.56 billion. $PFE","PFE"
"44","Wed Jan 29 00:55:44 +0000 2014",428330587292585984,"Finstats big data system S&amp;P 500 put selling report (01/28/2014)
$AAPL $AMGN $COH $DD $PFE
http://t.co/mwYVaHSCKB","PFE"
"45","Wed Jan 29 08:51:56 +0000 2014",428450426938073088,"BIG #Microcap #Breakout Coming To $PVSP ! Far Easier Than $MSFT $PFE $BBRY","PFE"
"46","Wed Jan 29 21:52:09 +0000 2014",428646774882844672,"Run For The Hills! $INTC $XRX $PFE $AMD $SIRI $BAC .. #BUY $PVSP #NASDAQ","PFE"
"47","Wed Jan 29 17:33:09 +0000 2014",428581595402874880,"$RGN/ $SNY/ $AMGN / $PFE all want antiPCSK9 Treatment - PFE needs it the most and has hired $halo to help make it happen.","PFE"
"48","Wed Jan 29 20:28:17 +0000 2014",428625669145112576,"Big Board #Yields Are Gone. #BUY $PVSP For An Easy #TRADE . $SIRI $XRX $PFE","PFE"
"49","Wed Jan 29 20:33:33 +0000 2014",428626994528399360,"BIG #Microcap #Breakout Coming To $PVSP ! Far Easier Than $MSFT $PFE $BBRY","PFE"
"50","Fri Jan 31 19:37:00 +0000 2014",429337539024269312,"On $PFE Q4 call D'Amelio mentioned reverse Morris Trust, also noted in @Reuters re $VRX, $ACT, $MYL. Hmm http://t.co/LKWUPGlPrT","PFE"
"51","Mon Feb 03 16:03:17 +0000 2014",430370919044120576,"What Happened with Pfizer? $PFE http://t.co/iFSaTEKrde","PFE"
"52","Mon Feb 03 21:03:35 +0000 2014",430446492004777984,"Run For The Hills! $INTC $XRX $PFE $AMD $SIRI $BAC .. #BUY $PVSP #NASDAQ","PFE"
"53","Mon Feb 03 14:24:05 +0000 2014",430345954538319872,"$PFE - U.S. Hot Stocks: Hot Stocks to Watch http://t.co/PYisiF9OYU","PFE"
"54","Mon Feb 03 14:55:36 +0000 2014",430353885991936000,"$PFE is exploding","PFE"
"55","Tue Feb 04 06:35:25 +0000 2014",430590398575038464,"Run For The Hills! $INTC $XRX $PFE $AMD $SIRI $BAC .. #BUY $PVSP #NASDAQ","PFE"
"56","Mon Feb 03 22:59:32 +0000 2014",430475671798697984,"RT @dukerandolph: Pretty obvious to me that if the drug gets approved, Pfizer buy it's, too much $PFE involvement to ignore. $pvct","PFE"
"57","Tue Feb 04 18:30:43 +0000 2014",430770409705709568,"ICYMI: #NIH, 10 drug makers in $230m+ pact to attack Alzheimer's, other diseases http://t.co/XnQt5OamTo $SNY $GSK $JNJ $LLY $PFE $MRK","PFE"
"58","Tue Feb 04 22:28:06 +0000 2014",430830149202739200,"$PTIE ""In my last communication w/. $PFE - LAST WEEK - they told me everything looks good"" //this is AFTER TEVA decision was out - good sign","PFE"
"59","Wed Feb 05 12:15:41 +0000 2014",431038417363685376,"$MRK's PD-1 deal with $PFE second collaboration (other diabetes) in 12 months - does $MRK have PD-1 tie-in opps internally at all?","PFE"
"60","Wed Feb 05 11:46:14 +0000 2014",431031006024716288,"$PFE - Pfizer And Merck To Collaborate On Innovative Anti-Cancer Combination Studies http://t.co/U82G1o5Qdm","PFE"
"61","Thu Feb 06 16:08:43 +0000 2014",431459449988202496,"Pfizer $PFE wins appeal over generic versions of Lyrica drug; court says Teva $TEVA and Lupin would infr #stocks http://t.co/4J94BKVCn0","PFE"
"62","Thu Feb 06 16:51:33 +0000 2014",431470229323919360,"Should you hold $OSIS $AIRT $DUNR $PFE Try this http://t.co/4YEhqBhAzk","PFE"
"63","Thu Feb 06 11:29:29 +0000 2014",431389178614792192,"Great #Stock #Research $AFL $WM $INTT $PFE Give it a try http://t.co/nyLN2x6E1U","PFE"
"64","Fri Feb 07 11:38:35 +0000 2014",431753856553603072,"Shoud you sell $STEL $MFSF $ANEN $PFE Try this http://t.co/mLWeD4wWqr","PFE"
"65","Fri Feb 07 13:20:11 +0000 2014",431779425026199552,"Are you holding $PFE $ALNY $KFRC $VLO Try this http://t.co/wbxfmxgRFQ","PFE"
"66","Sun Feb 09 13:00:49 +0000 2014",432499327001305088,"Get great research on stocks $SUSQ $NBS $ITIC $PFE Give it a try http://t.co/KVMU3qyfPz","PFE"
"67","Tue Feb 11 13:52:31 +0000 2014",433237113459310592,"@Penn's FitzGerald: #NSAIDs will confer a risk of hypertension that will relate to the degree of selectivity for COX-2
  #NSAID #FDA $PFE","PFE"
"68","Tue Feb 11 14:31:33 +0000 2014",433246936502902784,"RT @SarahKarlin: UPenn's Garrett FitzGerald says $PFE's PRECISION trial evaluating safety of Celebrex v. ibuprofen v. naproxen is biased to…","PFE"
"69","Tue Feb 11 19:27:52 +0000 2014",433321507058884608,"RT @cbtadvisors: Important data coming out: @Athersys nears end Ph2 in IBD. Partnered with $PFE #BIOCEO14","PFE"
"70","Wed Feb 12 07:03:15 +0000 2014",433496506000084992,"Get great research on stocks $ROST $PFE $HAL $BLOX #liquidity http://t.co/8VVeUmId8i","PFE"
"71","Wed Feb 12 04:36:44 +0000 2014",433459633848467456,"Get great research on stocks $MFA $JLL $PFE $BWP I suggest http://t.co/cSvSoiEAqf","PFE"
"72","Thu Feb 13 01:45:56 +0000 2014",433779038524420096,"$PFE  Pfizer attractive due to promising pipeline, Barron's reports","PFE"
"73","Thu Feb 13 22:28:00 +0000 2014",434091614823124992,"Are you holding $KMPR $PFE $SHW $IBM #financial http://t.co/VlSYFt18xj","PFE"
"74","Fri Feb 14 03:01:56 +0000 2014",434160552378503168,"Bearish on these #stocks $PFE $GNC $IPGP  $CAG Must have http://t.co/TKt4v2SKOM","PFE"
"75","Mon Feb 17 19:06:21 +0000 2014",435490419393036288,"#Stocks to hold onto $RE $XEL $PFE $CRAY #economy http://t.co/h8USczRhtw","PFE"
"76","Tue Feb 18 13:27:12 +0000 2014",435767457387937792,"RT @MarkSchoenebaum: $ACT buying $FRX - GOOD or BAD for $PFE?? Longstanding speculation that a low tax entity will eventually buy $PFE's es…","PFE"
"77","Tue Feb 18 20:10:13 +0000 2014",435868879852941312,"RT @ScripDonnaDC: #FDA launches Secure Supply Chain Pilot; prequalified $ABBV $AGN Astellas $BMS $CELG GE Health $GSK $MRK #MYL $NVS $PFE $…","PFE"
"78","Mon Feb 24 12:18:41 +0000 2014",437924541772619776,"RT @BioStocks: $PFE Announces Positive Top-Line Results Of Landmark Community-Acquired Pneumonia Immunization Trial http://t.co/k156KdKY6d","PFE"
"79","Tue Feb 25 23:00:53 +0000 2014",438448544580911104,"#Pennystock Research on $DDS $PFE $NOC $SATS $GAIN #Stock http://t.co/jzZIix93gY","PFE"
"80","Thu Feb 27 01:07:50 +0000 2014",438842880439091200,"Opening FLAT TOP BREAKOUT page 2nite.. enjoy! http://t.co/JxxlfyhoFu $ATHX $BERY $ECPG $ETRM $INT $MNI $MY $PACB $PBI $PFE $PRKR $WFC $XRS","PFE"
"81","Thu Feb 27 16:57:22 +0000 2014",439081838313623552,"9 Dogs Of The Dow Seek 10% To 17% February Upsides http://t.co/9MrSJbloxN $CSCO #CISCO $CVX $GE $INTC $JNJ $JPM $KO $MCD $MSFT $PFE $PG","PFE"
"82","Thu Feb 27 15:10:22 +0000 2014",439054910915895296,"RT @OptionsFlux: $PFE 69170 Contracts with expiration at Jan.16, 2015 CALL 30,0 at 3,00$ (ASK) - trade details http://t.co/lspPSk37mK","PFE"
"83","Fri Feb 28 21:55:35 +0000 2014",439519274860683264,"S&amp;P 500: Is This A Buying Opportunity? http://t.co/tK1OuCMhUq $AAPL, $AEP, $CAT, $DD, $FB, $GE, $GOOG, $GS, $MMM, $NFLX, $PFE","PFE"
"84","Sun Mar 02 20:59:38 +0000 2014",440229970313363456,"#Pfizer pushes ahead with #quest to #sell over-the-counter (#OTC) #Lipitor $PFE http://t.co/u06nhcJB2P |big #pharma in ""desperate #survival""","PFE"
