"","created_at","id","text","ticker"
"1","Wed Jan 01 05:01:43 +0000 2014",418245630772150272,"RT @vuhsace: HAPPY 2014 EA$T COAST.","T"
"2","Wed Jan 01 06:02:44 +0000 2014",418260986114478080,"HAPPY NEW YEARS TO MY N$T SQUAD @AhColdKelo @bvsxdtrxb @pretty_hippy","T"
"3","Wed Jan 01 15:51:01 +0000 2014",418409032471568384,"$T - Is Vodafone a Solid Investment? -&gt; http://t.co/mRRm09MltH #stock #stocks #stockaction","T"
"4","Thu Jan 02 17:15:09 +0000 2014",418792593179545600,"#TESTING_TESTING #MuzikkZone  HOTTE$T PROMO TEAM ON #TWITTER F&gt;&gt; @MREESE06 @MuzikkZone @Sammi_Gemini @black_candyy @1_BlackGoddess #ZONEUp","T"
"5","Thu Jan 02 13:23:40 +0000 2014",418734338487099392,"Isabel is Short on $T at #DowJones. Our profit 5.64%. Target price $28.44. More info on http://t.co/BqCz7TRmyf #stocks","T"
"6","Fri Jan 03 19:38:05 +0000 2014",419190951396278272,"$T - Will Apple Be The S&amp;Ps Largest Dividend Payer In 2014? -&gt; http://t.co/xqtbPfLmen #stock #stocks #stockaction","T"
"7","Fri Jan 03 11:01:06 +0000 2014",419060848288464896,"Weekly Dow #Stocks Trend $DIS $WMT $HD $GS $V $INTC $IBM $UTX $VZ $UNH $T $MSFT $AXP $JPM $MRK $CSCO $KO $CVX  @ http://t.co/TvzJfd0RGT","T"
"8","Fri Jan 03 03:19:36 +0000 2014",418944707993948160,"Ima $T!FF ASS niqqa out tha <U+303D><U+FE0F><U+2B55><U+FE0F> I ain't takin no L's <U+0001F4AF>","T"
"9","Fri Jan 03 08:33:12 +0000 2014",419023628022202368,"RT @mustsfollowjp: BÄ$T #TFBJP @SubPeriodista @AgusSosa01 @La7li @_iPhabby @KankichiRyotsu @Kenziia @FOLLOW_Dj_PM @RAMARTIBE @RicardodeSwarÖ","T"
"10","Fri Jan 03 17:08:41 +0000 2014",419153353651003392,"Like How you talk Sh$T to the Person that Owns you, Trick BOW DOWN to your master. When you see me in the Hall, look the other way. Remember","T"
"11","Fri Jan 03 14:53:01 +0000 2014",419119212029038592,"$T - AT&amp;T offers $450 credit to get T-Mobile customers -&gt; http://t.co/2Etmw72TVS #stock #stocks #stockaction","T"
"12","Fri Jan 03 12:36:02 +0000 2014",419084739048660992,"fucc KingLilOne diss song part 6 BY M$ CA$HVILLE THE FINE$T: http://t.co/bgaacP6pFi via @YouTube","T"
"13","Sat Jan 04 20:44:29 +0000 2014",419570049351835648,"RT @MoreFLAMEZ: #bEASTCOA$T http://t.co/qj6qnW0jVg","T"
"14","Sat Jan 04 09:37:59 +0000 2014",419402319160029184,"P!MP $QUAD N!GGA$ 
DA D!$NEYW0RLD MAF!A
E$T. 2005 http://t.co/U2JATcq5zr","T"
"15","Sun Jan 05 03:06:09 +0000 2014",419666098918031360,"WE$T$IDE <U+270A><U+0001F608>","T"
"16","Sun Jan 05 10:04:13 +0000 2014",419771308864323584,"HTC's fourth-quarter profit $T 0.3bn http://t.co/I4FBnpSvkG","T"
"17","Sun Jan 05 08:40:32 +0000 2014",419750249234591744,"(#weiipepo) HTC's fourth-quarter profit $T 0.3 billion:  http://t.co/DsFxWchEOn (#TEAMCASILLA)","T"
"18","Sun Jan 05 16:16:56 +0000 2014",419865106055315456,"Rosner: $DAL Overall Average: 96% Buy. $T $XLE $TWTR Delt http://t.co/yWG5zNtgZx","T"
"19","Sun Jan 05 03:21:27 +0000 2014",419669949289070592,"Why is Anisa's location ""WE$T"" <U+0001F602>","T"
"20","Sun Jan 05 03:22:23 +0000 2014",419670184186507264,"RT @nobullshit_x3: WE$T$IDE <U+270A><U+0001F608>","T"
"21","Mon Jan 06 16:41:29 +0000 2014",420233672131100672,"ARTI$T MANAGEMENT HMU shobusinessmusic@gmail.com","T"
"22","Mon Jan 06 03:36:12 +0000 2014",420036049143070720,"Dont know WHAT to do anymore! L@$T &amp; D3PR3$$3D- C@NFU$3D &amp; M@@Dy - at the same damn time.","T"
"23","Mon Jan 06 15:49:01 +0000 2014",420220468491464704,"RT @Pretty_Patron: ONLY #ROLL WIT THE FN BE$T!! #STOP #DROP #FOLLOW&gt;&gt; @PATRONonICE_ @Sammi_Gemini @MREESE06 @1_BlackGoddess @Fiery_UntoucheÖ","T"
"24","Mon Jan 06 11:53:15 +0000 2014",420161135841923072,"TEKNOLOJ-KOMUNYX-$T›LLO-MEX-VER: Malaga (0:1) Atletico Madrid All Goals &amp; Highlights 04/01/2014 http://t.co/Fz0B4oNp5E","T"
"25","Mon Jan 06 04:34:22 +0000 2014",420050687268245504,"#fuccwithme on #soundcloud #1st Tracc #NoMoreWaitinTime #follow #KG450 #villeshit #WE$T$IDE #ColumbusÖ http://t.co/14BUCa0LH4","T"
"26","Mon Jan 06 01:07:14 +0000 2014",419998560449724416,"RT @WatkinsAlmighty: 3iG x VA$T x G|C x Rila ; Poundcake Cypher ft. Dejour (AUDIO):  OHH GOSHIES ! http://t.co/GHarhhjKNj via @youtube","T"
"27","Mon Jan 06 12:09:19 +0000 2014",420165179163172864,"""@outfitpics: BADDE$T http://t.co/D7OYvPaGNt""","T"
"28","Mon Jan 06 14:51:28 +0000 2014",420205985542983680,"$T Buy? Click here to find out if $T is a buy hold or sell. Watching these stocks. $CERP $TLT $IYR $SPWR http: http://t.co/g9wMcbYeQ2","T"
"29","Tue Jan 07 00:54:54 +0000 2014",420357844513595392,"TEKNOLOJ-KOMUNYX-$T›LLO-MEX-VER: AC Milan vs Atalanta 3-0 All Goals &amp; Highlights (Serie A 2014) HD http://t.co/zqpBQwTXtg","T"
"30","Tue Jan 07 18:50:20 +0000 2014",420628486181486592,"THE DETAILS DEFINE THE LIES ë"" WHY LIE"" Toa$T Ft Kidd Kidd &amp; Precious Parisí by Toasalini on #SoundCloud? https://t.co/lb66Ol9YDi #ROYALSHIT","T"
"31","Tue Jan 07 18:52:09 +0000 2014",420628943360634880,"$T AT&amp;T Offers Up Triple Play For Carmakers http://t.co/2hrUwSiClm","T"
"32","Tue Jan 07 13:02:22 +0000 2014",420540917494206464,"$T Investor's Alert - Pfizer Inc.(NYSE:PFE), AT&amp;T Inc.(NYSE:T), Wells Fargo &amp; Co ... http://t.co/lCWZSgqudG","T"
"33","Wed Jan 08 16:31:26 +0000 2014",420955918701182976,"JU$T DAY$ AWAY SFE'$ #COSANOSTRA PROJECT DROP$ FRIDAY 1/10/14 @LOSOFBYB @41zoneent LET$ TOA$T TO IT #SFE #EMPIRE 3'Z! http://t.co/6txNPt2Mbk","T"
"34","Wed Jan 08 20:46:34 +0000 2014",421020125127770112,"AT&amp;T to @JohnLegere: ""a total source of amusement for me because theyíre the one that take my bullshit, they take the bait.î $T $TMUS","T"
"35","Wed Jan 08 13:28:42 +0000 2014",420909932364705792,"RT @black_candyy: <U+0001F3B6> #EARLY_BYRD #PROMO #ADD #MuzikkZone 2YA BIO F&gt;&gt; @MREESE06 @ROCKwitPRETTY @Pretty_Patron @misnikki72 #GAIN IN THE #FA$T Ö","T"
"36","Wed Jan 08 13:02:05 +0000 2014",420903234052427776,"$T Stocks To Watch ñ Tesla Motors Inc (TSLA), AT&amp;T (T), Yahoo (YHOO), Intel ... http://t.co/kblgcJslWD","T"
"37","Tue Jan 07 23:08:03 +0000 2014",420693342704631808,"°NDu$TÆ• TÄu$D@• all day/all night at Rockbar Inc. Come in for a drink and say hi! (at @RockbarInc) http://t.co/yzZ8lvwr7F","T"
"38","Wed Jan 08 06:31:58 +0000 2014",420805057987481600,"!!""PAK_V$_$L""!!
!!""""2Nd Te$T""""!!
!""""To$$ $L DAY 1""""!
!""PaK 23-0
!""Ov-7.""!
!""KHurraM_16""!
""!$HeHZaD-3""!
 !""$HaHBaZ""!
 !""Hu$$aiN""!.","T"
"39","Wed Jan 08 06:39:43 +0000 2014",420807008334651392,"!!""PAK_V$_$L""!!
!!""""2Nd Te$T""""!!
!""""To$$ $L DAY 1""""!
!""PaK 28-0
!""Ov-9.""!
!""KHurraM_20""!
""!$HeHZaD-3""!
 !""$HaHBaZ""!
 !""Hu$$aiN""!.","T"
