"","created_at","id","text","ticker"
"1","Thu Jan 02 13:02:03 +0000 2014",418728898478632960,"Good-Yielding Blue Chips Portfolio That Can Outperform By A Big Margin http://t.co/W6loKmDEWt $ADM $AXS $CNQ $GLW $GPS $TRV $XOM","XOM"
"2","Sun Jan 05 18:42:12 +0000 2014",419901663634522112,"$XOM - China and Russia are Cozying Up to Venezuelas Oil Industry -&gt; http://t.co/te93eiePkL #stock #stocks #stockaction","XOM"
"3","Tue Jan 07 16:40:14 +0000 2014",420595745452871680,"$XOM News Alert:  http://t.co/iishVKvyik  Updated options view:  http://t.co/PZgUWlj541","XOM"
"4","Tue Jan 07 06:55:06 +0000 2014",420448491832631296,"$XOM - Heres Why the Gorgon LNG Project Is Critical for These 3 Energy Giants -&gt; http://t.co/fnWuZkvupa #stock #stocks #stockaction","XOM"
"5","Wed Jan 08 14:02:34 +0000 2014",420918455185850368,"RT @seeitmarket: New Post -- See It Market on 2014: Insights from Across Our Community http://t.co/Vsn32gvz79 $SPX $SPY $TNX $USDJPY $XOM $…","XOM"
"6","Wed Jan 08 13:16:25 +0000 2014",420906841170665472,"$XOM The 3 Most Important Things to Learn From Warren Buffett http://t.co/OaZWYUPBre","XOM"
"7","Thu Jan 09 12:16:30 +0000 2014",421254150517968896,"$XOM $C  raised its price target for shares to  $108 from  $99. http://t.co/4xWjQLFPC8","XOM"
"8","Fri Jan 10 18:08:03 +0000 2014",421705008833253376,"$XOM Company Update – Exxon Mobil Corporation (NYSE:XOM) – Here are the Most ...: 
Company Update – Exxon Mobi... http://t.co/aM2lwvSwRo","XOM"
"9","Fri Jan 10 00:14:17 +0000 2014",421434786599546880,"#VIDEO #AccumulationDistribution in #EXCEL http://t.co/PTaLNIZK7V #DoubleTop $V $VZ $WMT $XOM $SCO $SQQQ $AGQ $QID $FAS $TNA $IAU $GLD $EWA","XOM"
"10","Mon Jan 13 14:45:21 +0000 2014",422741161300598784,"Correction Protection: Better Metric Finds Value http://t.co/fXP33Rt8Bn $GOOG #GOOGLE $CSCO $MSFT $INTC $ORCL $FB $XOM $CVX $SNY $MRK","XOM"
"11","Wed Jan 15 00:00:51 +0000 2014",423243345305939968,"$XOM Exxon Mobil Corp. Receives “Buy” Rating from TheStreet (XOM) http://t.co/KIH5ZwiFfn","XOM"
"12","Wed Jan 15 12:40:15 +0000 2014",423434454594752512,"$XOM - Energy ETFs Stumble to Start New Year -&gt; http://t.co/4ix3tps6ie #stock #stocks #stockaction","XOM"
"13","Thu Jan 16 21:12:11 +0000 2014",423925674701643776,"$XOM Jan 16, 2014 Sintana Energy Receives Approval of Environmental License for Colombia Block VNM-37 http://t.co/nawDHwQE5J","XOM"
"14","Tue Jan 21 16:46:46 +0000 2014",425670819713671168,"RT @DividendGrowth: Chevron Corporation: An Undervalued Dividend Growth Star http://t.co/J7c2Y4BAHd $CVX $RDSB $XOM $BP $TOT #dividends...","XOM"
"15","Wed Jan 22 20:40:33 +0000 2014",426092041085259776,"Exxon Mobil or Chevron: Which is the Better Bet? $CVX $XOM  http://t.co/2F2buo1qS6","XOM"
"16","Thu Jan 23 02:26:40 +0000 2014",426179144204820480,"Why Exxon Mobil's management is closely aligned with shareholders. $XOM http://t.co/JzwrPrOHC3 http://t.co/r9O8H5iYl9","XOM"
"17","Fri Jan 24 13:42:19 +0000 2014",426711564969078784,"$XOM - Why did David Einhorn’s Greenlight Capital buy Anadarko Petroleum? -&gt; http://t.co/qWSnPFM5Lf #stock #stocks #stockaction","XOM"
"18","Mon Jan 27 15:56:04 +0000 2014",427832387855069184,"RT @MisterMainSt: Why $BP is a great buy #BlackGold $XOM $CVX http://t.co/ebjc4I0Ypb","XOM"
"19","Mon Jan 27 23:02:09 +0000 2014",427939615249801216,"$XOM News Alert:  http://t.co/JnegoMkHFg  Updated options view: https://t.co/CNOw7LyBKs  All options views: https://t.co/OmDYbXnHv6","XOM"
"20","Thu Jan 30 01:02:22 +0000 2014",428694644486963200,"Earnings Release for tomorrow (before the open): $TMO $TWC $UA $UPS $UTEK $V $VIAB $VLY $WCC $WHR $XEL $XOM $ZMH http://t.co/0ti0fnRhvn","XOM"
"21","Thu Jan 30 15:14:40 +0000 2014",428909132788158464,"$XOM: Exxon Mobil misses by $0.01, misses on revs http://t.co/kzfYRq7FQV","XOM"
"22","Thu Jan 30 16:53:15 +0000 2014",428933942109278208,"$XOM's Rosesnthal on recent Natgas spike ""we don't worry about ST $ moves, but always retain flex./ capability to move around activity""","XOM"
